dst_port,protocol,duration,total_bytes,total_packets,fwd_pkts,fwd_bytes,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_min,fwd_pkt_len_max,fwd_iat_mean,fwd_iat_std,fwd_iat_min,fwd_iat_max,fwd_syn,fwd_ack,fwd_fin,fwd_rst,fwd_psh,fwd_urg,bwd_pkts,bwd_bytes,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_min,bwd_pkt_len_max,bwd_iat_mean,bwd_iat_std,bwd_iat_min,bwd_iat_max,bwd_syn,bwd_ack,bwd_fin,bwd_rst,bwd_psh,bwd_urg,bytes_per_second,packets_per_second,fwd_bytes_per_second,bwd_bytes_per_second,down_up_ratio,flow_pkt_asymmetry,flow_byte_asymmetry,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,pkt_len_q1,pkt_len_q3,pkt_len_skew,pkt_len_entropy,small_pkt_ratio,large_pkt_ratio,iat_mean,iat_std,iat_min,iat_max,burstiness,burst_count,mean_burst_duration,direction_switches,src_port_ephemeral,is_well_known_dst_port,is_complete_handshake,handshake_ratio,has_tls,tls_version,tls_cipher_count,tls_ext_count,ja4_fingerprint,ja4_tls_ver_num,ja4_cipher_count,ja4_ext_count,ja4_sni_present,ja4_has_alpn,ja3_fingerprint,fingerprint_source,has_sni,cipher_suite,dns_query_count,dns_query_types,dns_unique_queries,http_request_count,http_unique_hosts,http_unique_uris,label,fingerprint_final,fingerprint_method
443,TCP,0.038263,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.004783,0.007755,5.6e-05,0.02175,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.005435,0.00812,1.8e-05,0.021464,1,8,1,0,4,0,114183.4148,444.2934,28774.5341,85408.8806,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.002391,0.005912,1.8e-05,0.021464,2.4722,1,0.038263,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.037987,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.004748,0.00779,8.1e-05,0.021916,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.005394,0.008191,2.5e-05,0.021755,1,8,1,0,4,0,115013.0308,447.5215,28983.5997,86029.4311,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.002374,0.005956,2.5e-05,0.021755,2.5088,1,0.037987,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038579,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.004822,0.007901,0.000101,0.022327,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.005479,0.008307,1.2e-05,0.022164,1,8,1,0,4,0,113248.1402,440.6542,28538.8424,84709.2978,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.002411,0.006042,1.2e-05,0.022164,2.506,1,0.038579,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038204,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.004775,0.007759,9.7e-05,0.021804,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.005433,0.008124,2.4e-05,0.021543,1,8,1,0,4,0,114359.7529,444.9796,28818.9718,85540.7811,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.002388,0.005918,1.4e-05,0.021543,2.4786,1,0.038204,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038415,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005488,0.008126,0.000123,0.021951,1,7,0,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006356,0.008541,4.2e-05,0.021773,1,7,1,0,4,0,110920.2135,390.4725,27254.9785,83665.2349,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002744,0.006317,4e-05,0.021773,2.3022,1,0.038415,8,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038113,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005445,0.008131,0.000137,0.0219,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006327,0.008519,3.4e-05,0.021643,1,7,1,0,4,0,111799.1237,393.5665,27470.9417,84328.182,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002722,0.006293,3.4e-05,0.021643,2.3118,1,0.038113,10,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.162233,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.023176,0.042506,0.000187,0.125493,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.027007,0.044841,2.5e-05,0.125596,1,7,0,0,4,0,26264.6934,92.4596,6453.6808,19811.0126,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.011588,0.032085,2.5e-05,0.12506,2.7688,1,0.162233,10,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.037826,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005404,0.008068,0.000122,0.021686,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006279,0.008461,2.5e-05,0.021455,1,7,1,0,4,0,112647.3854,396.5526,27679.374,84968.0114,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002702,0.006251,2.5e-05,0.021455,2.3135,1,0.037826,10,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038721,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005532,0.008074,0.00011,0.021988,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006433,0.008476,3e-05,0.02182,1,7,0,0,4,0,110043.6456,387.3867,27039.5909,83004.0547,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002766,0.006295,3e-05,0.02182,2.2762,1,0.038721,10,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038982,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005569,0.00819,0.000143,0.022209,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006473,0.008552,4e-05,0.021898,1,7,0,0,4,0,109306.8596,384.793,26858.5501,82448.3095,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002784,0.006343,4e-05,0.021898,2.2779,1,0.038982,10,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.03876,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005537,0.008164,0.000122,0.02183,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006435,0.008577,2.8e-05,0.021665,1,7,0,0,4,0,109932.9205,386.9969,27012.3839,82920.5366,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002769,0.006356,2.8e-05,0.021665,2.2956,1,0.03876,10,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
