dst_port,protocol,duration,total_bytes,total_packets,fwd_pkts,fwd_bytes,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_min,fwd_pkt_len_max,fwd_iat_mean,fwd_iat_std,fwd_iat_min,fwd_iat_max,fwd_syn,fwd_ack,fwd_fin,fwd_rst,fwd_psh,fwd_urg,bwd_pkts,bwd_bytes,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_min,bwd_pkt_len_max,bwd_iat_mean,bwd_iat_std,bwd_iat_min,bwd_iat_max,bwd_syn,bwd_ack,bwd_fin,bwd_rst,bwd_psh,bwd_urg,bytes_per_second,packets_per_second,fwd_bytes_per_second,bwd_bytes_per_second,down_up_ratio,flow_pkt_asymmetry,flow_byte_asymmetry,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,pkt_len_q1,pkt_len_q3,pkt_len_skew,pkt_len_entropy,small_pkt_ratio,large_pkt_ratio,iat_mean,iat_std,iat_min,iat_max,burstiness,burst_count,mean_burst_duration,direction_switches,src_port_ephemeral,is_well_known_dst_port,is_complete_handshake,handshake_ratio,has_tls,tls_cipher_count,tls_ext_count,ja4_fingerprint,ja4_tls_ver_num,ja4_cipher_count,ja4_ext_count,ja4_sni_present,ja4_has_alpn,ja3_fingerprint,fingerprint_source,has_sni,cipher_suite,dns_query_count,dns_query_types,dns_unique_queries,http_request_count,http_unique_hosts,http_unique_uris,label,fingerprint_final,fingerprint_method
443,TCP,1.85822,40198,59,25,8397,335.88,442.3933,60.0,1342.0,0.077426,0.090936,0.000125,0.224702,1,24,0,0,7,0,34,31801,935.3235,537.5791,54.0,1342.0,0.050888,0.082654,4e-05,0.225569,1,34,0,0,9,0,21632.5317,31.7508,4518.8409,17113.6907,3.7867,-0.1525,-0.5822,681.322,580.6969,54.0,1342.0,60.0,1342.0,0.0803,2.7883,0.3559,0.4068,0.032038,0.06894,5e-06,0.224257,2.1518,1,1.85822,30,1,1,0,0.0339,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.708354,41989,61,26,9039,347.6538,437.7158,60.0,1342.0,0.060257,0.078887,0.000119,0.199726,1,25,0,0,8,0,35,32950,941.4286,539.4453,54.0,1342.0,0.045574,0.075873,4.2e-05,0.212134,1,35,0,0,7,0,24578.6295,35.7069,5291.058,19287.5716,3.6449,-0.1475,-0.5695,688.3443,578.6664,54.0,1342.0,60.0,1342.0,0.0575,2.7117,0.3607,0.4098,0.028473,0.061874,2.6e-05,0.201934,2.1731,1,1.708354,31,1,1,0,0.0328,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.157346,41510,59,23,8860,385.2174,452.0803,60.0,1342.0,0.046719,0.049963,0.000124,0.124532,1,22,0,0,8,0,36,32650,906.9444,545.5022,54.0,1342.0,0.030426,0.047909,3.5e-05,0.139459,1,36,0,0,8,0,35866.5426,50.9787,7655.4461,28211.0965,3.6847,-0.2203,-0.5731,703.5593,570.9536,54.0,1342.0,60.0,1342.0,0.039,2.8129,0.322,0.4068,0.019954,0.039542,7e-06,0.129527,1.9816,1,1.157346,27,1,1,0,0.0339,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.915996,21343,38,17,4779,281.1176,342.1733,60.0,1342.0,0.11975,0.116653,0.000118,0.401515,1,16,0,0,7,0,21,16564,788.7619,551.2644,54.0,1342.0,0.076634,0.088033,4.5e-05,0.214157,1,21,0,0,7,0,11139.3756,19.833,2494.264,8645.1117,3.4653,-0.1053,-0.5522,561.6579,532.946,54.0,1342.0,60.0,1274.25,0.4953,3.0708,0.3684,0.2895,0.051784,0.080293,1.2e-05,0.212536,1.5506,1,1.915996,22,1,1,0,0.0526,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,182.162329,57455,101,46,10237,222.5435,358.6388,60.0,1342.0,4.048052,4.818183,0.00012,10.031104,1,45,1,0,8,0,55,47218,858.5091,469.5963,54.0,1342.0,3.370063,4.63722,4.2e-05,10.026757,1,55,1,0,24,0,315.4055,0.5545,56.1971,259.2084,4.612,-0.0891,-0.6437,568.8614,528.1817,54.0,1342.0,60.0,1342.0,0.4298,2.4317,0.4257,0.2772,1.821623,3.706035,2.2e-05,9.827085,2.0345,20,0.296818,66,1,1,1,0.0198,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.691329,13390,27,13,4048,311.3846,334.657,60.0,1152.0,0.140944,0.08381,0.001917,0.343099,1,12,0,0,7,0,14,9342,667.2857,505.4689,54.0,1342.0,0.103784,0.097851,4.7e-05,0.347062,1,14,0,0,7,0,7916.8512,15.9638,2393.3841,5523.467,2.3072,-0.037,-0.3954,495.9259,466.9341,54.0,1342.0,60.0,748.0,0.5941,3.3242,0.3704,0.2222,0.065051,0.076354,4.7e-05,0.212179,1.1738,1,1.691329,18,1,1,0,0.0741,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.545936,11750,25,12,3472,289.3333,256.3231,60.0,640.0,0.14054,0.065526,0.001035,0.212797,1,11,0,0,7,0,13,8278,636.7692,507.6415,54.0,1342.0,0.098191,0.083512,8.4e-05,0.204274,1,13,0,0,6,0,7600.5728,16.1714,2245.8884,5354.6844,2.3835,-0.04,-0.409,470.0,442.3464,54.0,1342.0,60.0,640.0,0.7231,3.2431,0.36,0.16,0.064414,0.08155,8.4e-05,0.212797,1.266,1,1.545936,16,1,1,0,0.08,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,325.515666,65408,132,62,11788,190.129,321.8767,60.0,1342.0,5.333128,4.889221,0.000118,10.053019,1,61,1,0,9,0,70,53620,766.0,441.6832,54.0,1342.0,4.714859,4.884795,4.2e-05,10.054549,1,70,1,0,38,0,200.9366,0.4055,36.2133,164.7233,4.5483,-0.0606,-0.6396,495.5152,484.4778,54.0,1342.0,60.0,640.0,0.6619,2.2981,0.4621,0.1894,2.484852,4.142577,1e-06,9.843031,1.6671,35,0.259622,93,1,1,1,0.0152,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,4.608987,42479,62,25,8977,359.08,442.5255,60.0,1342.0,0.184658,0.58372,0.000122,2.96128,1,24,0,0,8,0,37,33502,905.4595,549.8721,54.0,1342.0,0.124303,0.459847,4e-05,2.813381,1,37,0,0,9,0,9216.5587,13.452,1947.7165,7268.8422,3.7316,-0.1935,-0.5773,685.1452,575.5348,54.0,1342.0,60.0,1342.0,0.072,2.8041,0.3548,0.4032,0.075557,0.358009,2e-05,2.813381,4.7383,2,0.897803,31,1,1,0,0.0323,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.711931,37936,55,24,8350,347.9167,447.7724,60.0,1342.0,0.074432,0.085163,0.000122,0.207301,1,23,0,0,7,0,31,29586,954.3871,535.7471,54.0,1342.0,0.051616,0.076636,4.1e-05,0.211203,1,31,0,0,6,0,22159.7718,32.1275,4877.5331,17282.2387,3.5428,-0.1273,-0.5598,689.7455,582.8643,54.0,1342.0,60.0,1342.0,0.0538,2.6644,0.3636,0.4182,0.031702,0.06168,9e-06,0.206276,1.9456,1,1.711931,30,1,1,0,0.0364,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
